Wall time,Step,Value
1670576390,6578,714
1670576390,6580,347
1670576390,6581,147
1670576391,6584,-71
1670576393,6593,459
1670576394,6594,204
1670576396,6603,441
1670576396,6606,239
1670576399,6616,-130
1670576400,6621,348
1670576407,6657,134
1670576409,6666,-80
1670576409,6668,278
1670576410,6672,347
1670576411,6678,336
1670576412,6681,102
1670576413,6688,-124
1670576413,6691,421
1670576414,6696,423
1670576415,6699,183
1670576417,6707,343
1670576417,6711,-77
1670576418,6715,178
1670576420,6725,198
1670576421,6726,866
1670576423,6738,275
1670576424,6742,415
1670576425,6749,823
1670576426,6753,-16
1670576428,6764,361
1670576430,6776,472
1670576433,6792,415
1670576437,6817,29
1670576440,6832,429
1670576441,6840,616
1670576442,6846,99
1670576443,6850,590
1670576444,6854,289
1670576445,6862,188
1670576446,6868,217
1670576446,6869,480
1670576449,6886,697
1670576451,6895,323
1670576452,6901,831
1670576453,6909,263
1670576454,6912,354
1670576455,6916,483
1670576456,6926,59
1670576458,6934,123
1670576458,6937,644
1670576461,6951,387
1670576461,6955,-16
1670576463,6963,115
1670576463,6966,450
1670576464,6972,106
1670576467,6990,297
1670576468,6992,420
1670576471,7010,410
1670576472,7014,454
1670576472,7017,33
1670576475,7032,-68
1670576475,7035,864
1670576476,7039,386
1670576477,7046,317
1670576479,7059,502
1670576480,7065,152
1670576484,7079,588
1670576486,7091,720
1670576488,7098,921
1670576489,7106,486
1670576491,7114,45
1670576491,7115,684
1670576492,7120,214
1670576493,7124,718
1670576495,7137,254
1670576496,7141,511
1670576498,7155,222
1670576501,7167,361
1670576501,7168,-42
1670576502,7175,577
1670576504,7183,706
1670576505,7189,271
1670576506,7195,537
1670576507,7202,60
1670576508,7204,137
1670576510,7213,123
1670576510,7215,439
1670576510,7216,240
1670576514,7235,519
1670576514,7238,628
1670576516,7247,974
1670576519,7260,480
1670576521,7271,583
1670576521,7274,85
1670576523,7284,80
1670576526,7300,175
1670576528,7311,474
1670576529,7314,359
1670576532,7329,350
1670576534,7339,141
1670576534,7340,-33
1670576535,7345,706
1670576535,7346,458
1670576536,7351,301
1670576537,7353,489
1670576538,7357,266
1670576538,7358,490
1670576539,7359,245
1670576542,7374,510
1670576543,7381,88
1670576544,7382,201
1670576544,7386,399
1670576545,7388,580
1670576547,7397,310
1670576547,7401,254
1670576548,7404,0
1670576553,7430,345
1670576553,7431,343
1670576555,7440,84
1670576555,7443,77
1670576556,7447,105
1670576556,7450,349
1670576558,7460,505
1670576559,7461,160
1670576559,7462,292
1670576559,7463,350
1670576560,7468,74
1670576561,7474,478
1670576562,7478,544
1670576562,7480,503
1670576565,7496,343
1670576566,7502,464
1670576566,7503,122
1670576568,7511,696
1670576569,7517,498
1670576570,7522,116
1670576571,7530,571
1670576573,7537,269
1670576574,7547,164
1670576578,7565,-69
1670576579,7573,380
1670576584,7596,838
1670576585,7603,590
1670576586,7609,529
1670576586,7612,720
1670576592,7643,228
1670576592,7644,496
1670576595,7660,425
